2026-07-15 10:44:03.692 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 6.76s | PromptTokens: 131 | CompletionTokens: 163
2026-07-15 10:44:20.138 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 8.47s | PromptTokens: 131 | CompletionTokens: 226
2026-07-15 10:44:34.165 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 3.76s | PromptTokens: 133 | CompletionTokens: 90
2026-07-15 10:44:49.343 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 9.21s | PromptTokens: 133 | CompletionTokens: 260
2026-07-15 10:46:17.154 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 4.70s | PromptTokens: 53 | CompletionTokens: 133
2026-07-15 10:46:41.170 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 4.67s | PromptTokens: 86 | CompletionTokens: 134
2026-07-15 10:46:56.716 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 4.80s | PromptTokens: 120 | CompletionTokens: 134
2026-07-15 10:49:24.955 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 3.89s | PromptTokens: 53 | CompletionTokens: 92
2026-07-15 10:49:43.532 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 4.85s | PromptTokens: 96 | CompletionTokens: 135
2026-07-15 10:49:59.466 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 6.08s | PromptTokens: 132 | CompletionTokens: 170
2026-07-15 10:51:30.448 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 5.65s | PromptTokens: 84 | CompletionTokens: 156
2026-07-15 10:51:47.773 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 5.06s | PromptTokens: 121 | CompletionTokens: 142
2026-07-15 10:52:02.990 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 5.01s | PromptTokens: 150 | CompletionTokens: 139
2026-07-15 10:52:21.861 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 5.28s | PromptTokens: 178 | CompletionTokens: 149
2026-07-15 13:48:44.737 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 5.50s | PromptTokens: 84 | CompletionTokens: 139
2026-07-15 13:48:59.354 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 6.92s | PromptTokens: 122 | CompletionTokens: 183
2026-07-15 13:49:13.094 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 7.75s | PromptTokens: 163 | CompletionTokens: 198
2026-07-15 13:49:49.944 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 7.05s | PromptTokens: 199 | CompletionTokens: 166
2026-07-15 13:50:07.662 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 14.69s | PromptTokens: 295 | CompletionTokens: 460
2026-07-15 13:53:50.862 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 5.10s | PromptTokens: 84 | CompletionTokens: 140
2026-07-15 13:54:01.231 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 4.30s | PromptTokens: 121 | CompletionTokens: 149
2026-07-15 13:56:17.431 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 10.42s | PromptTokens: 84 | CompletionTokens: 284
2026-07-15 13:56:38.527 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 14.16s | PromptTokens: 164 | CompletionTokens: 411
2026-07-15 14:00:33.367 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 9.42s | PromptTokens: 84 | CompletionTokens: 213
2026-07-15 14:03:22.923 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 5.36s | PromptTokens: 88 | CompletionTokens: 144
2026-07-15 14:03:42.094 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 6.42s | PromptTokens: 122 | CompletionTokens: 155
2026-07-15 14:04:02.767 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 8.33s | PromptTokens: 156 | CompletionTokens: 221
2026-07-15 14:04:29.590 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 23.39s | PromptTokens: 247 | CompletionTokens: 630
2026-07-15 14:44:33.027 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 6.89s | PromptTokens: 90 | CompletionTokens: 187
2026-07-15 14:56:15.575 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 8.93s | PromptTokens: 84 | CompletionTokens: 182
2026-07-15 14:56:50.994 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 4.93s | PromptTokens: 114 | CompletionTokens: 138
2026-07-15 14:57:22.531 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 7.78s | PromptTokens: 163 | CompletionTokens: 217
2026-07-15 14:57:39.465 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 13.10s | PromptTokens: 255 | CompletionTokens: 433
2026-07-15 15:11:56.441 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 5.15s | PromptTokens: 281 | CompletionTokens: 127
2026-07-15 15:12:14.336 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 8.08s | PromptTokens: 315 | CompletionTokens: 197
2026-07-15 15:12:41.655 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 8.14s | PromptTokens: 358 | CompletionTokens: 203
2026-07-15 15:13:01.012 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 6.18s | PromptTokens: 399 | CompletionTokens: 149
2026-07-15 15:13:27.520 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 8.07s | PromptTokens: 434 | CompletionTokens: 194
2026-07-15 15:13:49.975 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 17.58s | PromptTokens: 349 | CompletionTokens: 512
2026-07-16 10:33:43 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 36.78s | PromptTokens: 289 | CompletionTokens: 1331
2026-07-16 13:42:50 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 64.05s | PromptTokens: 638 | CompletionTokens: 1517
2026-07-16 14:05:35 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 82.28s | PromptTokens: 667 | CompletionTokens: 2586
2026-07-16 14:15:56 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 102.85s | PromptTokens: 667 | CompletionTokens: 2834
2026-07-16 16:41:15 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 22.20s | PromptTokens: 174 | CompletionTokens: 567
2026-07-16 16:47:53 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 27.55s | PromptTokens: 174 | CompletionTokens: 770
2026-07-16 16:56:57 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 27.73s | PromptTokens: 174 | CompletionTokens: 632
2026-07-16 17:17:04 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 27.63s | PromptTokens: 228 | CompletionTokens: 625
2026-07-16 18:24:35 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 21.02s | PromptTokens: 202 | CompletionTokens: 444
2026-07-16 18:24:48 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 13.30s | PromptTokens: 221 | CompletionTokens: 395
2026-07-16 18:26:27 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 22.41s | PromptTokens: 202 | CompletionTokens: 735
2026-07-16 18:26:40 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 12.97s | PromptTokens: 221 | CompletionTokens: 318
2026-07-16 18:27:19 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 12.71s | PromptTokens: 203 | CompletionTokens: 297
2026-07-16 18:28:07 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 15.32s | PromptTokens: 203 | CompletionTokens: 398
2026-07-16 18:29:23 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 13.48s | PromptTokens: 202 | CompletionTokens: 396
2026-07-16 18:29:36 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 13.50s | PromptTokens: 221 | CompletionTokens: 340
